Order_ID,Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
1,37,4.9,Sunny,High ,motorcycle ,Urban ,120,Clothing
2,34,4.5,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics
3,23,4.4,Sandstorms,Low ,motorcycle ,Urban ,130,Sports
4,38,4.7,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics
5,32,4.6,Cloudy,High ,scooter ,Metropolitian ,150,Toys
6,22,4.8,Cloudy,Jam ,motorcycle ,Urban ,130,Toys
7,33,4.7,Fog,Jam ,scooter ,Metropolitian ,200,Toys
8,35,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks
9,22,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics
10,36,4.2,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys
11,21,4.7,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics
12,23,4.7,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes
13,34,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel
14,24,4.7,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry
15,29,4.5,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors
16,35,4.0,Windy,High ,scooter ,Metropolitian ,33,Grocery
17,33,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics
18,34,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks
19,21,4.7,Windy,Jam ,motorcycle ,Urban ,75,Jewelry
20,25,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys
21,31,4.7,Sandstorms,Low ,van,Metropolitian ,130,Books
22,37,5.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing
23,33,4.3,Windy,Jam ,scooter ,Metropolitian ,195,Snacks
24,25,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry
25,29,4.5,Sunny,Medium ,van,Metropolitian ,75,Outdoors
26,27,5.0,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics
27,35,4.3,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics
28,32,4.0,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics
29,23,4.8,Windy,Low ,van,Urban ,60,Jewelry
30,31,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry
31,36,4.1,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics
32,26,4.3,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry
33,38,4.9,Cloudy,High ,scooter ,Urban ,125,Shoes
34,32,3.5,Stormy,Jam ,scooter ,Urban ,35,Grocery
35,32,4.6,Cloudy,Low ,scooter ,Metropolitian ,150,Sports
36,33,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry
37,20,4.7,Windy,High ,scooter ,Urban ,50,Toys
38,20,4.8,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen
39,35,5.0,Sunny,Low ,scooter ,Urban ,55,Clothing
40,26,4.9,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen
41,22,4.8,Fog,Low ,motorcycle ,Metropolitian ,140,Books
42,35,4.3,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery
43,37,4.7,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing
44,28,4.6,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics
45,37,4.9,Fog,Low ,scooter ,Urban ,16,Grocery
46,23,4.9,Sunny,Jam ,van,Metropolitian ,55,Apparel
47,27,4.9,Windy,Medium ,scooter ,Metropolitian ,125,Snacks
48,37,4.8,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry
49,33,5.0,Sunny,High ,scooter ,Metropolitian ,90,Shoes
50,31,4.9,Fog,Medium ,motorcycle ,Metropolitian ,80,Books
51,31,4.8,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics
52,25,5.0,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home
53,28,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen
54,31,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing
55,24,4.7,Sunny,Medium ,motorcycle ,Urban ,95,Snacks
56,39,4.6,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry
